severity	dim	location	title	fix	effort	confidence
3	D14	backend/app/routers/profile_pkg/resume.py:42, chat.py:706	Synchronous pdfplumber parse blocks the event loop in async handlers	Wrap extract_pdf_text in await asyncio.to_thread(...) in both upload_resume and extract_pdf	S	certain
3	D9	backend/app/services/resume_service.py:56-74,117-125; chat_memory_service.py:200	Deleting or replacing a resume does not deactivate chat_memories resume entries; free_practice interviews keep recalling stale resume PII after deletion (erasure completeness)	On save_resume/delete_resume, also deactivate memory_type='resume' rows in chat_memories (or read resume from user_resumes only)	M	probable
3	D14	backend/app/routers/profile_pkg/resume.py:119-129	Text-phase stream_llm_messages call omits max_tokens; OpenAI-compatible path sends no max_tokens so the provider default applies and may silently truncate the optimized resume	Pass max_tokens=4096 (project convention) to stream_llm_messages in the text phase	S	probable
3	D1	backend/app/routers/profile_pkg/resume.py:106-168	optimize_resume_event_stream holds LLM orchestration, JSON parsing and persistence in the router, violating the routers-must-be-HTTP-only rule	Move the generator to resume_service (e.g. optimize_resume_stream), router keeps only request parsing and StreamingResponse	M	certain
3	D3	backend/tests/services/test_resume_optimize_endpoint.py; test_resume_service.py	Test gaps: no HTTP-level happy path for upload/delete/get metadata, no wrong-type position test, no dict-envelope points branch, no duplicate-upload race, no 50k truncation, no cross-user isolation, no stale chat-memory test	Add the listed adversarial/edge tests per D3 critical-path matrix	M	certain
3	D15	frontend/src/views/ResumeView.vue:handleDelete	Deleting the resume (with optimization history) is destructive and has no confirmation step	Gate handleDelete behind a ConfirmDialog (project convention)	S	certain
2	D9	backend/app/db/migrations/coding.py:12-24 + resume_service.py:56-66	No UNIQUE(user_id) on user_resumes; invariant is app-enforced only (delete+insert in one transaction is currently race-safe, but a future refactor to upsert/skip-delete silently duplicates rows)	Add UNIQUE index on user_resumes(user_id) as schema-level invariant	S	certain
2	D14	backend/app/routers/profile_pkg/resume.py:107-108	body is untyped dict; non-string position raises AttributeError -> 500; position length unbounded inflates prompt	Use a Pydantic body model with position: str = Field(max_length=100)	S	certain
2	D14	backend/app/routers/profile_pkg/resume.py:150-154	save_optimization return value ignored; deleting the resume mid-stream still emits done claiming saved	Check the return; yield error event when False	S	certain
2	D10	backend/app/services/resume_service.py:77-94	get_resume selects raw_text (up to 50KB) for a metadata endpoint that discards it	Add lean get_resume_meta selecting id/filename/created_at only	S	certain
2	D14	backend/app/routers/profile_pkg/resume.py:38-45	points items are not validated as strings; a dict/list item renders as [object Object] in badges	Coerce each point to str() in the router before yielding	S	certain
2	D15	frontend/src/views/ResumeView.vue:171	Icon-only Trash2 button has no aria-label or AppTooltip, violating the project a11y convention (WCAG 4.1.2)	Add aria-label="删除简历" or wrap in AppTooltip with text	S	certain
2	D15	frontend/src/views/ResumeView.vue	In-flight optimize SSE is not aborted on component unmount; the fetch continues after leaving the page	Pass an AbortController via postSSE options and abort in onUnmounted	S	probable
1	D16	frontend/src/views/ResumeView.vue:151-166	Native select/checkbox/file input instead of shadcn Select/Checkbox components, deviating from the project design-system mandate	Replace with shadcn Select and Checkbox components	S	certain
1	D14	backend/app/services/resume_service.py:38-45	except Exception swallows the root cause (pdfplumber crash) into a generic ValueError with no logging	log the original exception before raising ValueError	S	certain
1	D9	backend/app/db/migrations/coding.py:12-19	user_resumes.updated_at column exists but is never written; dead schema weight	Drop the column or set it in save_resume	S	certain
FIXED	D15	frontend/src/components/business/PracticePanel.vue:131 + backend/app/routers/practice.py practice-history	历史 tab 维度分解丢失：迁移后 /api/practice-history 恒返回 evaluation_result=None，PracticePanel 的维度/建议区不再渲染（新自测无完整评估展示）	practice_review_events 加 evaluation_result JSON 快照列（migration 095），evaluate-answer 写入，history 端点返回	M	certain
FIXED	D1	backend/app/services/practice_deck_service.py:41-71 + practice_review_service.py:22-39	时区助手重复定义两处（_study_timezone/_to_study_date），实现不完全一致（review_service 无 try/except、参数类型不同）——漂移风险	抽公共 helper 或统一实现与签名	S	certain
FIXED	D14	backend/app/services/practice_review_service.py:149-153	_duplicate_payload 的 datetime.fromisoformat 无 try/except：存量非 ISO next_review_at 会 500（deck_service 的同名助手有 try/except，不一致）	复用带 try/except 的 _to_study_date（接受 str）	S	certain
FIXED	D10	backend/app/services/practice_deck_service.py:355 list_decks	list_decks 每 deck 调用一次 _study_date_string()（纯函数重算），微优化可提到循环外	循环外计算一次	S	certain
FIXED	D15	backend/app/routers/practice.py evaluate-answer + frontend	R9 加了 truncated 响应字段但前端未消费（用户不知道答案被截断）	前端在评估结果区提示输入被截断	S	certain
FIXED	D10	backend/app/core/cache.py:173 + routers/practice.py (review/correct/toggle-star/evaluate)	全局 epoch 失效所有用户 master-bank 缓存（任一用户复习清掉全站）	改为 per-user epoch：invalidate_master_bank_cache(user_id) 只失效本人；bank 级变更仍全局	M	certain
FIXED	D10	backend/app/routers/practice.py:474 get_practiced_questions	ORDER BY uqr.updated_at 无 (user_id, updated_at) 索引，全量扫用户行排序	migration 098 加 idx_uqr_user_updated	S	certain
FIXED	D14	backend/app/routers/practice.py:347 evaluate-answer	LLM 调用失败仍扣每日配额（check_and_record 先 +1 后调用）	新增 release_quota：LLM 失败分支有界回退计数	S	certain
FIXED	D1	frontend/src/components/business/PracticeMode.vue:580/888	rememberedIds ref 只写不读（死状态）	删除声明与写入	S	certain
FIXED	D15	frontend/src/components/business/PracticeMode.vue:1031	已刷过的题列表只在首次打开时加载，会话内新复习不反映	每次打开都刷新	practice	S	certain
FIXED	D9	backend/app/services/llm_quota.py:29 _today	配额日用服务器本地 date.today()，与刷题学习日不一致	改用 STUDY_TIMEZONE 学习日（复用 practice_deck_service._study_timezone）	S	certain
