severity	dim	location	title	fix	effort	confidence
FIXED	D13	D13-1	.env.example JWT_SECRET 占位已注释化（自动生成口径）	-	S	certain
FIXED	D13	D13-2	compose OAUTH_SECRET_KEY 兜底已移除（${OAUTH_SECRET_KEY} 直引）	-	S	certain
FIXED	D14	D14-1	migration 079 users.email 唯一索引已落地（含去重）	-	S	certain
FIXED	D4	D4-1	experiments 4 脚本硬编码 key 已删改读 env（工作树 0 命中）；git 历史仍含，需用户轮换	-	S	certain
FIXED	D8	D8-1	.github/workflows/ci.yml 已新增（gitleaks + check.sh）	-	M	certain
FIXED	D8	D8-2	check.sh 已接 run_secret_scan 阻断段（check_secrets.py）	-	S	certain
FIXED	D8	backend/scripts/check_secrets.py:47（EXCLUDE 恒真短路）+ PROJECT_ROOT 指向 backend/	【本轮已修】secret 扫描门禁空转：排除条件 part in EXCLUDE_DIRS 恒真 → iter_source_files() 产出 0 文件，check.sh 与 CI 的 secret scan 恒绿（假门禁）；且 PROJECT_ROOT 错指 backend/ 漏扫 frontend/；修复后全仓 2256 文件、检出真实 MiMo key×3、mock 值正确过滤、exit 0（2026-08-14 复查: PROJECT_ROOT 已上溯三级, EXCLUDE_DIRS 用 set 检查(非恒真短路), _is_mock_value 过滤, tests 目录排除; 全仓 2256 文件可扫, 运行 exit 0）	2026-08-14 复查: PROJECT_ROOT 已上溯三级, EXCLUDE_DIRS 用 set 检查(非恒真短路), _is_mock_value 过滤, tests 目录排除; 全仓 2256 文件可扫, 运行 exit 0	S	certain
FIXED	D4	backend/scripts/verify_improved_compaction.py:20 + verify_compaction_on_backup.py:22 + verify_compaction_match_existing_real.py:35 + CLUSTERING_QUALITY_SUMMARY.md:160	【本轮已修】5 月旧脚本/报告含真实小米 MiMo API key（tp-ck 开头）且进 git 历史（529f232 引入）；上轮扫描器空转漏检，本轮修复后检出；已删字面量改读 MIMO_API_KEY env、md 脱敏——git 历史仍含需轮换（2026-08-14 复查: 字面量已改读 env 且工作树 0 命中; git 历史仍含旧 key, 需用户轮换(未做)）	2026-08-14 复查: 字面量已改读 env 且工作树 0 命中; git 历史仍含旧 key, 需用户轮换(未做)	S	certain
FIXED	D1	chat_service.py:1(2395)/nodes.py:1(2028)/ChatView.vue:1(1577)	三个 god-file 上轮后未拆未缩（行数未变）仍超 1500 行红线——上轮 🔴 未修（2026-08-14 已拆: chat_service 2395->104 / nodes 2028->1343 / ChatView 1577->1497 / worker 1805->1388 / llm 1565->1319, 全部 <1500, line_guard overrides 清空）	2026-08-14 已拆: chat_service 2395->104 / nodes 2028->1343 / ChatView 1577->1497 / worker 1805->1388 / llm 1565->1319, 全部 <1500, line_guard overrides 清空	L	certain
4	D3	frontend/tests/e2e + verify_*_real_e2e.py	无真实全栈 E2E——上轮 🔴 未修	gated E2E job	M	certain
