severity	dim	location	title	fix	effort	confidence
4	D8	.github/ 不存在	CI 完全缺失：测试只在开发者本机手动跑，无集中门禁	配置 GH Actions（或自建 runner）跑 scripts/check.sh 全量门禁，每 push 触发并让关键 stage 阻断	M	certain
4	D8	scripts/check.sh + deploy/docker-deploy.sh + .githooks/	门禁缺 secret 扫描与容器/SAST 扫描：唯一安全项是 npm audit(--omit=dev) 与 pip-audit 且均非阻断（WARN 不拦截）	在 check.sh 增加 gitleaks(secret)、trivy(image)、semgrep(SAST)；至少把 secret 扫描设为阻断项并接入 CI	M	certain
2	D7	frontend/package.json + pyproject.toml（无 .github/dependabot.yml、无 renovate.json）	无自动依赖更新（Dependabot/Renovate），Vite 4/uvicorn 等显著滞后没有机器人驱动升级与 CVE 提醒	新增 .github/dependabot.yml（python-uv + npm，daily 自动 PR），或启用 Renovate	S	certain
2	D7	frontend/package.json:25 "vite":"^4.4.5"（lock 钉 4.5.14）	Vite 落后 4 个大版本（最新 8.2.1），构建链/生态/安全修复落后	vite 升 ^7/^8 + @vitejs/plugin-vue 同步升级，npm ci 后重跑 npm run build 验证	M	certain
2	D7	pyproject.toml "uvicorn==0.24.0"	uvicorn 硬钉 0.24.0（最新 0.52.2），2 年多未随上游，错过 bug/安全修复	放开为 uvicorn>=0.30 并 uv add 升级后重跑测试；若有兼容顾虑保留 == 则注明原因并纳入升级计划	S	certain
2	D7	frontend/package.json:6-7,33	3 个未用依赖（puppeteer-core、@hugeicons/core-free-icons、@hugeicons/vue，全仓 0 处 import）	npm rm 三者并清理 lock 条目	S	certain
2	D8	.githooks/commit-msg（已入库 b9e980f）	commit-msg 已入库但依赖本机 core.hooksPath，fresh clone 无任何 hook（无安装脚本、无 pre-commit）	新增 .githooks/install.sh 写 core.hooksPath=.githooks，并在 setup 文档/CI 调用	S	certain
2	D8	frontend/package.json:10 "test"	npm run test 只跑 1 个 smoke spec，其余 4 个 smoke + e2e 均不在默认门禁	test 改为 playwright test tests/smoke 全量，check.sh frontend 阶段跑全部 smoke	S	certain
4	D13	backend/.env.example:19 + core/auth.py:15-21	JWT_SECRET 以公开静态占位 ship 进 .env.example（40 字节，通过 auth.py len<32 拒绝检查），照抄示例的部署共享同一已知签名密钥，可跨实例伪造 token（当前生产 .env 已用 130 字符随机值，风险在新建部署）	.env.example 注释掉 JWT_SECRET 行并说明由 auth.py 自动生成写回 .env；README 点明勿填固定占位	S	certain
4	D13	docker-compose.yml oauth-gateway 段 OAUTH_SECRET_KEY=${OAUTH_SECRET_KEY:-change-me-in-production}	OAuth HS256 签名密钥带公开兜底值且不在 .env.example 中；oauth-gateway/auth.py:20 自动生成逻辑因 env 恒非空永不触发，未设该变量的部署 OAuth 令牌可被伪造（当前生产已覆盖 64 字符随机值）	compose 去掉兜底改必填校验或启动时自动生成；把 OAUTH_SECRET_KEY 从 compose 移除仅保留必填提示，并补入 .env.example	M	certain
3	D13	docker-compose.yml backend 段硬编码 /home/ubuntu/.cache/huggingface bind mount	compose 绑定固定家目录 HF 缓存路径，新机器首次启动挂空 root 目录致 embedding 静默失效（HF_HUB_OFFLINE=1），破坏一键启动承诺	HF_CACHE_DIR 环境变量参数化并在 .env.example/README 声明	M	probable
2	D2	CLAUDE.md:7（实际 .python-version=3.12、pyproject >=3.11、README:130 >=3.12）	CLAUDE.md 声称 Python 3.10，实际 3.12，权威来源自相矛盾	CLAUDE.md:7 改为 Python 3.12	S	certain
1	D2	backend/CLAUDE.md（include_router 实际 22 次 vs 声称 18；根 CLAUDE.md composables 实际 20 vs 19）	文档精确计数随新路由/composable 过时	更新计数或改为约数并标注以目录为准	S	certain
4	D3	frontend/tests/e2e/*.spec.js + backend/scripts/verify_*_real_e2e.py + scripts/check.sh	无真实全栈 E2E：nginx→backend→LLM→SSE→前端渲染 整链从未被自动验证（Playwright 全 mock API 为项目规则，verify_*_real_e2e.py 为手动脚本）	compose 增加 gated E2E job 让 frontend→test-runtime 真实后端→可选真实 LLM 跑全流程冒烟并接入门禁，或把 verify_*_real_e2e.py 编入可选发布门禁	M	certain
3	D3	scripts/check.sh:71,77-81 + frontend/package.json:10	日常门禁只跑子集：后端仅 3 个结构文件、前端仅 quality-gate.spec.js，完整对抗套件（security/pipeline/chat 全量、27 条 e2e）不在门禁	check.sh backend 段跑 pytest backend/tests/ 全量（或至少 security+pipeline+chat 关键子集），npm run test:e2e 设为可选门禁段	S	certain
3	D3	git log 96d25f2..ccd5e56（10 条 fix）	regression-after-fix 70%：最近 10 条 fix 仅 7 条带回归测试；答案编辑持久化域连续两个 bug（18c80dd/d6ba22f）均无测试钉住	为 submit-answer edit 持久化路径补回归测试，CLAUDE/test-files.md 固化 ≥80% 规则	S	certain
