severity	dim	location	title	fix	effort	confidence
4	D14	frontend/src/views/admin/EvaluationExperimentsView.vue:240-260,294,318	Select/Checkbox/EvalProgressBar used in template but never imported — runtime render failure	Import Select/SelectTrigger/SelectValue/SelectContent/SelectItem from @/components/ui/select, Checkbox from @/components/ui/checkbox, EvalProgressBar from @/components/business/EvalProgressBar.vue	5m	certain
4	D14	frontend/src/views/admin/EvaluationExperimentView.vue:1	EvalScoreBar import placed before <script setup> — SFC won't process it, component never registered	Move `import EvalScoreBar` line inside the `<script setup>` block	2m	certain
4	D14	frontend/src/views/admin/EvaluationRunView.vue:292-301	Select/SelectTrigger/SelectValue/SelectContent/SelectItem used in mobile dropdown but never imported	Import Select components from @/components/ui/select	3m	certain
4	D14	frontend/src/views/admin/EvaluationRunView.vue:297	Template references `filteredItems` which is undefined — mobile Case dropdown renders empty	Define `filteredItems` computed (or use `sortedItems`) matching the same filter logic as EvalCaseNavigator	10m	certain
4	D14	frontend/src/views/admin/EvaluationReviewsView.vue:175-181	Select/SelectTrigger/SelectValue/SelectContent/SelectItem used but never imported	Import Select components from @/components/ui/select	3m	certain
3	D15	frontend/src/views/admin/EvaluationExperimentsView.vue	ExperimentsView crams 3 distinct functions (config form + batch experiment + 2 history lists) into one page — cognitive overload	Split: keep form+batch on ExperimentsView; move history sections to ResultsView or a dedicated History tab	2h	certain
3	D15	frontend/src/views/admin/EvaluationOverviewView.vue + EvaluationResultsView.vue	Overview and Results pages duplicate 80% of their UI (4 stat cards, byTarget quality board, failed-run list) — users can't tell them apart	Merge into a single "Results" page with optional detail expansion; or make Overview a dashboard summary that links to Results for drill-down	2h	certain
3	D16	frontend/src/views/admin/Evaluation*.vue	Status Badge rendering is inconsistent: some views use <Badge> component, others use hand-rolled `rounded-full px-2 py-0.5` spans — same data, different looks	Create a shared `EvalStatusBadge` component or standardize on <Badge> everywhere	30m	certain
3	D16	frontend/src/views/admin/EvaluationExperimentView.vue:105,124	Inline progress bar (`h-full rounded-full bg-primary`) instead of using the existing EvalProgressBar component	Replace inline bars with `<EvalProgressBar :value="..." size="sm" />`	10m	certain
2	D14	frontend/src/views/admin/EvaluationOverviewView.vue:9	Unused imports: `runProgress`, `statusClass` — dead code from refactor	Remove the two unused imports from the destructure	2m	certain
2	D14	frontend/src/views/admin/EvaluationRunView.vue:5,11,72,89	Unused imports/functions: `AppCard`, `checkStatusLabel`, `deterministicSummary`, `scoreSummary` — dead code	Remove unused imports and functions	3m	certain
2	D14	frontend/src/views/admin/EvaluationResultsView.vue:3	Unused import: `ArrowRight`	Remove unused import	1m	certain
2	D14	frontend/src/views/admin/EvaluationReleasesView.vue:6,7	Unused imports: `fetchEvaluationBenchmarks` (benchmarks loaded but the import is dead), `statusClass`	Remove unused imports	2m	certain
2	D16	frontend/src/components/business/EvalEvidencePanel.vue:93-95	Raw JSON.stringify dumps in "高级详情" section — debug-level presentation, not user-facing UI	Format key fields as labeled rows; collapse full JSON into a copy-to-clipboard code block only	1h	certain
2	D15	frontend/src/views/admin/EvaluationRunView.vue:305	Case navigator sidebar fixed at w-64 (256px) — long case_key strings truncated without tooltip	Increase to w-72 or w-80; add title attr showing full case_key on hover	10m	certain
2	D15	frontend/src/views/admin/EvaluationRunView.vue:117-131	SSE reconnection sets error ref but provides no visible toast/banner when evidence panel is scrolled out of view	Add a sticky reconnection indicator bar below the header	20m	certain
2	D16	frontend/src/views/admin/Evaluation*.vue	Consistent `text-xs`/`text-sm` density across all eval pages — 130+ instances of sub-14px text with no visual hierarchy for key metrics (scores, pass rates)	Establish a type hierarchy: key metrics at `text-base`/`text-lg`, labels at `text-xs`, body at `text-sm`	30m	probable
2	D1	frontend/src/views/admin/EvaluationOverviewView.vue + EvaluationResultsView.vue	`byTarget`, `byTargetSort`, `passRate()` are copy-pasted between Overview and Results — clone density	Extract shared computed/logic into evaluationShared.js or a new useEvaluationOverview composable	20m	certain
1	D15	frontend/src/views/admin/EvaluationExperimentsView.vue:284-285	Error messages shown as plain red text below the form — no toast, no auto-dismiss, easy to miss	Wire errors through the app's toast/notification system	15m	probable
1	D14	frontend/src/components/business/EvalScoreBar.vue:2	ESLint warning: `props` assigned but never used — the defineProps return value is captured but not referenced	Remove the `const props =` assignment; use `defineProps(...)` without capturing	1m	certain
